,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,DE,Endenergieverbrauch,203964,4145,132374,0,5778,26571,59990,0,0,751911,1338953,371729,749956,21159,3420,12727,81495,7,34099,69889,2081456,73,,,,0,517048,,,55384,1883805,0,430540,82075,,8918546
2012,DE,Gewinngung und verarbeitendes Gewerbe,193720,0,131831,0,5778,7491,58644,0,0,0,355,0,49698,21003,3420,12727,14940,7,34099,69889,792350,73,,,,0,82580,,,4,814391,0,212029,82075,,2587103
2012,DE,Schienenverkehr,0,0,0,0,0,0,0,0,0,0,13514,0,0,0,0,0,0,0,0,0,0,0,,,,0,920,,,0,43502,0,0,0,,57936
2012,DE,Straßenverkehr,0,0,0,0,0,0,0,0,0,742000,1223718,0,0,0,0,0,23532,0,0,0,8869,0,,,,0,119247,,,0,0,0,0,0,,2117365
2012,DE,Luftverkehr,0,0,0,0,0,0,0,0,0,558,0,370558,0,0,0,0,0,0,0,0,0,0,,,,0,25,,,0,0,0,0,0,,371141
2012,DE,Küsten und Binnenschiffahrt,0,0,0,0,0,0,0,0,0,0,11322,0,0,0,0,0,0,0,0,0,0,0,,,,0,855,,,0,0,0,0,0,,12177
2012,DE,Verkehr insgesamt,0,0,0,0,0,0,0,0,0,742558,1248554,370558,0,0,0,0,23532,0,0,0,8869,0,,,,0,121046,,,0,43502,0,0,0,,2558619
2012,DE,Haushalte,7425,4145,430,0,0,19079,0,0,0,3995,0,0,507633,0,0,0,23441,0,0,0,916513,0,,,,0,231167,,,49674,493200,0,170756,0,,2427458
2012,DE,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",2819,0,114,0,0,0,1346,0,0,5358,90044,1171,192625,156,0,0,19582,0,0,0,363724,0,,,,0,82254,,,5706,532712,0,47755,0,,1345365
2012,DE,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",10244,4145,543,0,0,19079,1346,0,0,9353,90044,1171,700258,156,0,0,43023,0,0,0,1280237,0,,,,0,313422,,,55380,1025912,0,218511,0,,3772824
2013,DE,Endenergieverbrauch,219136,4208,114525,0,5552,27274,59718,0,0,750623,1402835,376719,805860,15543,4574,13986,84299,0,33395,68231,2184305,56,,,,0,568204,,,58474,1883600,0,434837,62574,,9178528
2013,DE,Gewinngung und verarbeitendes Gewerbe,214912,0,113979,0,5552,7081,59718,0,0,0,415,0,45370,15462,4574,13985,16356,0,33395,68231,799849,56,,,,0,92205,,,0,807369,0,189589,62574,,2550672
2013,DE,Schienenverkehr,0,0,0,0,0,0,0,0,0,0,13771,0,0,0,0,0,0,0,0,0,0,0,,,,0,828,,,0,42786,0,0,0,,57385
2013,DE,Straßenverkehr,0,0,0,0,0,0,0,0,0,741150,1283637,0,0,0,0,0,23077,0,0,0,7389,0,,,,0,111765,,,0,360,0,0,0,,2167377
2013,DE,Luftverkehr,0,0,0,0,0,0,0,0,0,496,0,374670,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,,375166
2013,DE,Küsten und Binnenschiffahrt,0,0,0,0,0,0,0,0,0,0,11635,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,,11635
2013,DE,Verkehr insgesamt,0,0,0,0,0,0,0,0,0,741646,1309043,374670,0,0,0,0,23077,0,0,0,7389,0,,,,0,112593,,,0,43146,0,0,0,,2611563
2013,DE,Haushalte,3623,4208,431,0,0,20193,0,0,0,3720,0,0,553346,0,0,0,25307,0,0,0,966005,0,,,,0,251703,,,53348,489600,0,184486,0,,2555970
2013,DE,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",601,0,115,0,0,0,0,0,0,5257,93377,2049,207144,81,0,1,19559,0,0,0,411062,0,,,,0,111703,,,5126,543485,0,60762,0,,1460322
2013,DE,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",4224,4208,546,0,0,20193,0,0,0,8977,93377,2049,760490,81,0,1,44866,0,0,0,1377067,0,,,,0,363406,,,58474,1033085,0,245248,0,,4016292
2014,DE,Endenergieverbrauch,230332,3203,114590,0,5886,21176,58142,0,0,754020,1419145,364928,679306,14174,4649,5690,74810,0,34930,66259,1956486,54,,,,0,524547,,,64268,1846214,0,383096,72896,,8698801
2014,DE,Gewinngung und verarbeitendes Gewerbe,223268,0,113039,0,5886,6775,58142,0,0,0,512,0,33672,14174,4649,5684,14234,0,34930,66259,779678,54,,,,0,113753,,,0,823580,0,174206,72896,,2545390
2014,DE,Schienenverkehr,0,0,0,0,0,0,0,0,0,0,12283,0,0,0,0,0,0,0,0,0,0,0,,,,0,836,,,0,41288,0,0,0,,54407
2014,DE,Straßenverkehr,0,0,0,0,0,0,0,0,0,744661,1296828,0,0,0,0,0,21464,0,0,0,7472,0,,,,0,115828,,,0,428,0,0,0,,2186681
2014,DE,Luftverkehr,0,0,0,0,0,0,0,0,0,472,0,361868,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,,362340
2014,DE,Küsten und Binnenschiffahrt,0,0,0,0,0,0,0,0,0,0,12112,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,,12112
2014,DE,Verkehr insgesamt,0,0,0,0,0,0,0,0,0,745133,1321223,361868,0,0,0,0,21464,0,0,0,7472,0,,,,0,116664,,,0,41717,0,0,0,,2615541
2014,DE,Haushalte,5257,3203,1236,0,0,14400,0,0,0,3946,0,0,469262,0,0,0,21167,0,0,0,780757,0,,,,0,210126,,,58424,466920,0,153342,0,,2188041
2014,DE,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",1807,0,316,0,0,0,0,0,0,4941,97410,3060,176372,0,0,6,17945,0,0,0,388579,0,,,,0,84004,,,5844,513997,0,55548,0,,1349830
2014,DE,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",7064,3203,1552,0,0,14400,0,0,0,8887,97410,3060,645634,0,0,6,39112,0,0,0,1169336,0,,,,0,294130,,,64268,980917,0,208890,0,,3537870
